filter_name,mappings
csw-fmc-2,192.168.3.15/24
csw-fmc-2,192.168.1.54/24
csw-fmc-2,192.168.11.104/24
csw-fmc-2,192.168.1.6/24
csw-fmc-2,192.168.4.4/32
csw-fmc-2,192.168.1.20/24
csw-fmc-2,172.29.152.196/32
csw-fmc-2,192.168.3.11/24
csw-fmc-2,192.168.1.10/24
csw-fmc-2,192.168.1.5/24
csw-fmc-2,192.168.3.13/24
csw-fmc-2,192.168.3.100/32
csw-fmc-2,192.168.1.13/24
csw-fmc-2,192.168.1.8/24
csw-fmc-2,192.168.4.89/32
csw-fmc-2,172.29.152.0/32
csw-fmc-2,192.168.1.52/24
csw-fmc-2,192.168.1.101/24
csw-fmc-2,192.168.1.103/24
csw-fmc-2,192.168.1.14/24
csw-fmc-2,192.168.4.5/32
csw-fmc-2,192.168.1.53/24
csw-fmc-2,192.168.4.2/32
csw-fmc-2,192.168.4.8/32
csw-fmc-2,192.168.1.4/24
csw-fmc-2,192.168.1.49/24
csw-fmc-2,192.168.4.6/32
csw-fmc-2,192.168.1.50/24
csw-fmc-2,192.168.4.7/32
csw-fmc-2,192.168.1.7/24
csw-fmc-2,192.168.3.14/24
csw-fmc-2,192.168.3.12/24
csw-fmc-2,192.168.1.51/24
csw-fmc-2,192.168.4.9/32
csw-fmc-2,192.168.1.12/24
csw-fmc-2,192.168.4.0/24
csw-fmc-2,172.29.152.0/24
csw-fmc-2,192.168.1.105/24
csw-fmc-2,10.67.0.158/24
csw-fmc-2,192.168.1.102/24
csw-fmc-2,192.168.4.3/32
csw-fmc-2,192.168.1.9/24
csw-fmc-2,192.168.3.16/24
csw-fmc-3,192.168.2.50/32
csw-fmc-3,192.168.2.52/32
csw-fmc-3,10.0.223.15/32
csw-fmc-3,10.67.1.1/32
csw-fmc-3,192.168.16.6/32
csw-fmc-3,10.0.223.13/32
csw-fmc-3,192.168.17.10/32
csw-fmc-3,192.168.2.104/32
csw-fmc-3,192.168.2.54/32
csw-fmc-3,10.0.223.16/32
csw-fmc-3,192.168.18.7/32
csw-fmc-3,192.168.2.51/32
csw-fmc-3,10.0.223.10/32
csw-fmc-3,10.67.1.161/32
csw-fmc-3,10.67.1.32/32
csw-fmc-3,192.168.2.2/32
csw-fmc-3,10.67.1.241/32
csw-fmc-3,192.168.18.6/32
csw-fmc-3,192.168.1.100/24
csw-fmc-3,10.67.1.37/32
csw-fmc-3,10.67.1.2/32
csw-fmc-3,10.67.1.0/24
csw-fmc-3,10.0.223.17/32
csw-fmc-3,10.67.1.30/32
csw-fmc-3,10.67.1.36/32
csw-fmc-3,10.67.1.38/32
csw-fmc-3,192.168.2.53/32
csw-fmc-3,192.168.19.10/32
csw-fmc-3,192.168.18.5/32
csw-fmc-3,192.168.16.5/32
csw-fmc-3,10.0.223.18/32
csw-fmc-3,192.168.2.10/32
csw-fmc-3,192.168.2.103/32
csw-fmc-3,192.168.2.101/32
csw-fmc-3,192.168.16.7/32
csw-fmc-3,10.0.221.10/32
csw-fmc-3,192.168.2.105/32
csw-fmc-3,10.0.223.14/32
csw-fmc-3,192.168.15.10/32
csw-fmc-3,192.168.2.49/32
csw-fmc-3,192.168.2.0/24
csw-fmc-3,10.0.223.12/32
csw-fmc-3,10.67.1.70/32
csw-fmc-3,192.168.2.70/32
csw-fmc-3,192.168.1.11/24
csw-fmc-3,10.0.223.11/32
csw-fmc-3,192.168.2.102/32
csw-fmc-3,10.0.225.10/32
csw-fmc-3,192.168.2.20/32
csw-fmc-3,10.67.1.162/32
csw-fmc-3,10.67.1.31/32
csw-fmc-4,192.168.10.52/24
csw-fmc-4,172.20.0.64/24
csw-fmc-4,192.168.10.158/24
csw-fmc-4,192.168.10.159/24
csw-fmc-4,192.168.10.160/24
csw-fmc-4,172.17.0.1/16
csw-fmc-4,192.168.10.11/24
csw-fmc-4,172.17.0.1/16
csw-fmc-4,172.17.0.1/16
csw-fmc-4,10.67.0.161/24
csw-fmc-4,10.67.0.191/24
csw-fmc-4,172.17.0.1/16
csw-fmc-4,192.168.10.15/24
csw-fmc-4,192.168.10.150/24
csw-fmc-4,10.67.1.35/24
csw-fmc-4,172.20.0.52/24
csw-fmc-4,192.168.10.49/24
csw-fmc-4,192.201.0.5/24
csw-fmc-4,10.67.1.34/24
csw-fmc-4,172.20.0.71/24
csw-fmc-4,172.20.0.60/24
csw-fmc-4,172.20.0.72/24
csw-fmc-4,172.17.0.1/16
csw-fmc-4,192.168.10.10/24
csw-fmc-4,10.67.0.192/24
csw-fmc-4,192.168.10.238/19
csw-fmc-4,10.67.0.50/24
csw-fmc-4,10.67.0.5/24
csw-fmc-4,192.168.10.16/24
csw-fmc-4,192.168.10.12/24
csw-fmc-4,172.17.0.1/16
csw-fmc-4,172.20.0.131/24
csw-fmc-4,10.67.0.193/24
csw-fmc-4,172.20.0.81/24
csw-fmc-4,10.150.0.3/32
csw-fmc-4,192.168.10.161/24
csw-fmc-4,172.20.0.62/24
csw-fmc-4,192.168.10.151/24
csw-fmc-4,10.1.0.104/24
csw-fmc-4,10.150.0.2/32
csw-fmc-4,172.20.0.51/24
csw-fmc-4,192.168.10.13/24
csw-fmc-4,192.168.10.100/24
csw-fmc-4,10.67.1.33/24
csw-fmc-4,10.67.0.162/24
csw-fmc-datacenter,10.67.0.36/32
csw-fmc-datacenter,172.26.0.117/32
csw-fmc-datacenter,10.67.0.184/32
csw-fmc-datacenter,192.168.1.6/24
csw-fmc-datacenter,172.26.0.170/32
csw-fmc-datacenter,10.67.0.31/32
csw-fmc-datacenter,172.26.0.181/32
csw-fmc-datacenter,10.128.2.1/23
csw-fmc-datacenter,172.20.0.1/32
csw-fmc-datacenter,10.67.0.180/32
csw-fmc-datacenter,172.26.0.251/32
csw-fmc-datacenter,10.67.0.176/32
csw-fmc-datacenter,172.26.0.241/32
csw-fmc-datacenter,192.168.10.158/24
csw-fmc-datacenter,192.168.2.54/32
csw-fmc-datacenter,172.26.0.111/32
csw-fmc-datacenter,192.168.1.104/24
csw-fmc-datacenter,172.20.0.123/32
csw-fmc-datacenter,172.26.0.175/32
csw-fmc-datacenter,10.67.2.1/32
csw-fmc-datacenter,192.168.10.159/24
csw-fmc-datacenter,172.26.0.51/32
csw-fmc-datacenter,10.67.0.0/24
csw-fmc-datacenter,10.67.0.161/24
csw-fmc-datacenter,192.168.10.52/24
csw-fmc-datacenter,172.29.0.27/32
csw-fmc-datacenter,172.17.0.1/16
csw-fmc-datacenter,172.17.0.1/16
csw-fmc-datacenter,172.17.0.1/16
csw-fmc-datacenter,192.168.18.7/32
csw-fmc-datacenter,10.67.0.0/32
csw-fmc-datacenter,192.168.2.52/32
csw-fmc-datacenter,10.67.1.32/32
csw-fmc-datacenter,172.26.0.128/32
csw-fmc-datacenter,172.26.0.64/32
csw-fmc-datacenter,172.29.0.15/32
csw-fmc-datacenter,10.67.1.161/32
csw-fmc-datacenter,10.0.223.10/32
csw-fmc-datacenter,10.67.1.30/32
csw-fmc-datacenter,192.168.10.160/24
csw-fmc-datacenter,172.29.0.41/32
csw-fmc-datacenter,10.67.0.8/32
csw-fmc-datacenter,172.26.0.191/32
csw-fmc-datacenter,192.168.1.54/24
csw-fmc-datacenter,172.26.0.55/32
csw-fmc-datacenter,10.67.1.36/32
csw-fmc-datacenter,10.67.0.131/32
csw-fmc-datacenter,192.168.1.5/24
csw-fmc-datacenter,172.29.0.36/32
csw-fmc-datacenter,172.26.0.39/32
csw-fmc-datacenter,192.168.10.11/24
csw-fmc-datacenter,192.168.18.5/32
csw-fmc-datacenter,172.26.0.173/32
csw-fmc-datacenter,172.26.0.109/32
csw-fmc-datacenter,10.67.0.34/32
csw-fmc-datacenter,172.29.0.26/32
csw-fmc-datacenter,172.29.0.25/32
csw-fmc-datacenter,192.168.2.53/32
csw-fmc-datacenter,172.20.0.71/24
csw-fmc-datacenter,192.168.4.4/32
csw-fmc-datacenter,10.0.223.17/32
csw-fmc-datacenter,192.168.2.50/32
